title	summary	website
Human serum proteome dynamics in type 2 diabetes using heavy water labeling mass spectrometry	Control subjects and type 2 diabetic patients were given deuterium-labeled (heavy) water for a seven-day period and their plasma serum proteins were analyzed by high-resolution mass spectrometry. Using an in-house-developed software, fractional synthesis rates were calculated for proteins of interest. These data can be used for qualitative, quantitative, and kinetics study of human serum proteins under healthy and type 2 diabetes conditions.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD005755
HEK293 CD63 CRISPR cell-derived small EVs	The tetraspanin protein CD63 has been recently described as a key factor in extracellular vesicle (EV) production and endosomal cargo sorting. In this study, we assemble a global scope of CD63-dependent protein trafficking into small secreted vesicles.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD006514
TAp63-regulated microRNAs suppress cutaneous squamous cell carcinoma	TAp63 is a transcription factor belonging to the p53 family with important tumor suppressive functions. We show that TAp63-/- mice exhibit an increased susceptibility to UVR-induced cutaneous squamous cell carcinoma (cuSCC). These tumors showed global disruption of miRNA and mRNA expression when compared to tumors arising in wild-type mice. A comparison to similarly sequenced human cuSCC tumors identified miR-30c-2* and miR-497 as being significantly underexpressed in cuSCC. Reintroduction of these miRNAs significantly inhibited the growth of cuSCC cell lines and xenografts. Proteomic profiling of cells transfected with either miRNA showed significant downregulation of proteins related to cell cycle progression and mitosis. A cross-platform comparison of the RNAseq and proteomics signatures identified 7 downregulated proteins, which are also frequently overexpressed in both mouse and human cuSCC. Knockdown of AURKA, KIF18B, PKMYT1, and ORC1 in cuSCC cell lines suppressed tumor cell proliferation and induced cell death. Additionally, we found that an investigational, oral, selective inhibitor of AURKA suppressed cuSCC cell growth and induced cell death, and showed anti-tumor effects in vivo. Our data establishes TAp63 as an essential regulator of miRNA expression during skin carcinogenesis and reveals a novel network of miRNAs and mRNAs, which include potential targets for therapeutic intervention.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD014261
Proteomics at large: Discovery and replication of plasma proteomic biomarkers in independent cohorts - Overweight and obese patients of the Weight Management Clinical program of The Ottawa Hospital	Holistic human proteome maps are expected to complement comprehensive profile assessment of health and disease phenotypes. However, methodologies to analyze proteomes in human tissue or body fluid samples at relevant scale and performance are still limited in clinical research. Their deployment and demonstration in large enough human populations are even sparser. In the present study, we have characterized and compared the plasma proteomes of two large independent cohorts of obese and overweight individuals using shotgun MS-based proteomics. One cohort comes from a Canadian single-center clinical weight management program while the other one belongs to a multicenter pan-European weight loss study (i.e., the DiOGenes study for which MS proteomic data have been already deposited to the ProteomeXchange Consortium with the dataset identifier PXD005216).  The MS proteomic data deposited herein corresponds to the cohort coming from the Weight Management Clinical program of The Ottawa Hospital.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD009350
Senescence 4 -  Proteomic analysis reveals a role for Bcl2-associated athanogene 3 and major vault protein in resistance to apoptosis in senescent cells by regulating ERK1/2 activation	Bag3 and MVP regulate apoptosis resistance in Therapy Induced Senescence (TIS)	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD001015
A systematic evaluation of the use of human plasma and serum for mass spectrometry-based shotgun proteomics - commercial pooled samples	Over the last two decades, EDTA-plasma has been used as the preferred sample matrix for human blood proteomic profiling. Serum has also been employed widely. Only a few studies have assessed the difference and relevance of the proteome profiles obtained from plasma samples, such as EDTA-plasma or lithium-heparin-plasma, and serum. A complete evaluation of the use of EDTA-plasma, heparin-plasma, and serum would greatly expand the comprehensiveness of shotgun proteomics of blood samples. In this study, we evaluated the use of heparin-plasma with respect to EDTA-plasma and serum to profile blood proteomes using a scalable automated proteomic pipeline (ASAP2). The use of plasma and serum for mass spectrometry-based shotgun proteomics was tested with commercial pooled samples. The proteome coverage consistency and the quantitative performance were compared.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD007846
An adaptive pipeline to maximize isobaric tagging data in large-scale MS-based proteomics	Isobaric tagging is a method of choice in Mass Spectrometry (MS)-based proteomics for comparing multiple conditions at a time. Despite its multiplexing capabilities, when multiple experiments are merged for comparison in large sample-size studies, some drawbacks appears, due to the presence of missing values, which result from the stochastic nature of the Data-Dependent Acquisition (DDA) mode. Another indirect cause of data incompleteness might derive from the proteomic-typical data processing workflow that first identifies proteins in individual experiments and then only quantifies those identified proteins, leaving a large number of unmatched spectra with quantitative information unexploited.  Inspired by untargeted metabolomic and label-free proteomic workflows, we developed a quantification-driven bioinformatic pipeline (Quantify then Identify – QtI) that optimizes the processing of isobaric Tandem Mass Tag (TMT) data from large-scale studies. This pipeline includes innovative modules, such as the Peptide Match Rescue (PMR) and the Optimized Post-Translational Modification (OPTM) and outperforms a classical benchmark workflow in terms of quantification and identification rates, significantly reducing missing data while preserving unmatched features for quantitative comparison. The number of unexploited tandem mass spectra was reduced by 77% and 62% for two human cerebrospinal fluid (CSF) and plasma datasets, respectively.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD008029
Chromatin isolation for mass spectrometry	The histone acetyl-reader BRD4 is an important regulator of chromatin structure and transcription, yet factors modulating its activity have remained elusive. Here we describe two complementary screens for genetic and physical interactors of BRD4, which converge on the folate pathway enzyme MTHFD1. We show that a fraction of MTHFD1 resides in the nucleus, where it is recruited to distinct genomic loci by direct interaction with BRD4. Inhibition of either BRD4 or MTHFD1 results in similar changes in nuclear metabolite composition and gene expression, and pharmacologic inhibitors of the two pathways synergize to impair cancer cell viability in vitro and in vivo. Our finding that MTHFD1 and other metabolic enzymes are chromatin-associated suggests a direct role for nuclear metabolism in the control of gene expression.  BRD4 is an important chromatin regulator with roles in gene regulation, DNA damage, cell proliferation and cancer progression1-4. The protein is recruited to distinct genomic loci by the interaction of its tandem bromodomains with acetylated lysines on histones and other nuclear proteins5. There, BRD4 acts as a transcriptional activator by P-TEFb-mediated stimulation of transcriptional elongation6. The activating function of BRD4 on key driver oncogenes like MYC have made this epigenetic enzyme an important therapeutic target in both BRD4 translocated and BRD4 wild-type cancers3,7-12, and at least seven bromodomain inhibitors have reached the clinical stage13. Genome-wide studies have identified the role of BRD4-induced epigenetic heterogeneity in cancer cell resistance14, and factors defining BRD4 inhibitor response15,16. However, despite its clinical importance and the broad role of BRD4 in chromatin organization, surprisingly little is known about factors that are directly required for BRD4 function. To systematically expand the list of known BRD4 interactors5 and to characterize proteins directly required for BRD4 function, we developed a strategy of two complementary screens for genetic and physical partners of BRD4. The two approaches converge on a single factor, methylenetetrahydrofolate dehydrogenase 1 (MTHFD1). Our description of a transcriptional role for this C-1-tetrahydrofolate synthase highlights a direct connection between nuclear folate metabolism and cancer regulation.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD013090
Identification of Missing Proteins in the Phosphoproteome of Kidney Cancer	Finding missing proteins (MPs) has been one of the critical missions of Chromosome-Centric Human Proteome Project (C-HPP) since 2012, twenty-five research teams from seventeen countries have been trying to search adequate and accurate evidence for MPs through various biochemical strategies. In our previous study, we found that phosphoproteomics is one pleasant means to catch low-abundance and membrane proteins which are phosphorylated. Therefore, we speculate it may be an available approach for MPs detection. In this study, kidney cancer and adjacent tissues were used for phosphoproteomics research, we totally identified 8962 proteins including 6415 phosphoproteins, and 44728 phosphosites, of which 10266 were unreported previously. Interestingly, a total of 75 MPs were found, after rigorous screening and manual checking, 26 MPs were ranked as confident MPs by the verification with the synthesized peptides and a stringent manual check of their MS2 spectra, among which 14 MPs were phosphorylated. Functional analysis for 26 MPs revealed that 16 MPs were found to be membrane proteins, 7 MPs were testis-enriched and 1 MPs were kidney-specific. Therefore we concluded that phosphoproteomics is a promising approach in digging MPs for C-HPP studies.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD006482
Proteome profiling of breast cancer biopsies reveals a wound healing signature of cancer-associated fibroblasts - primary mammary fibroblasts treated with IL1-beta	Breast cancer is still the most common type of cancer in women; an important role in carcinogenesis is actually attributed to cancer-associated fibroblasts. In this study we investigated whether it is possible to assess the functional state of cancer-associated fibroblasts through tumor tissue proteome profiling. Tissue proteomics was performed on tumor-central, tumor-near and tumor-distant biopsy sections from breast adenocarcinoma patients, which allowed us to identify 2074 proteins. Data were interpreted referring to reference proteome profiles generated from primary human mammary fibroblasts comprising 4095 proteins. These cells were analyzed in quiescent cell state, as well as after in vitro treatment with TGFβ or IL-1β, stimulating wound healing or inflammatory processes, respectively. Representative for cancer cells, we investigated the mammary carcinoma cell line ZR-75-1, identifying 5212 proteins. Comparison of tissue proteomics data with all those reference profiles revealed predominance of cancer cell-derived proteins within the tumor and fibroblast-derived proteins in the tumor-distant tissue sections. Remarkably, proteins characteristic for acute inflammation were hardly identified in the tissue samples. In contrast, several proteins found by us to be induced by TGFβ in mammary fibroblasts, including fibulin-5, SLC2A1 and MUC18, were positively identified in all tissue samples, with relatively higher abundance in tumor neighboring tissue sections. These findings indicate a predominance of cancer-associated fibroblasts with wound healing activities localized around tumors.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD001328
